NRIC,NAME,SURNAME,EMAIL,DateOfBirth,ZIP,Gender,Etnicity,Religion,MaritalStatus,ICD-9
G3169239M,Brendan,Truex,Brend@outlook.gov,1991-11-08,33432,Male,White,Roman Catholic,Never-married,272.4
S3456062E,Anjelica,Flugum,An@live.gov,1984-05-02,33054,Male,White,,Never-married,V58.69
S7506615E,Jamison,Sales,SalesJamis@hotmail.co.uk,1978-01-09,33946,Male,White,,Married-civ-spouse,530.81
G1887164P,Emmett,Eroman,Erom@live.com,1973-11-14,32828,Female,White,Unknown,Divorced,401.1
T0034970D,Joanna,Kleinsorge,Kleins@live.com,1976-09-12,32413,Male,White,Unknown,Married-civ-spouse,244.9
G0788809X,Marshall,Dempsy,De@live.co.uk,1962-12-20,33547,Female,Black,Unknown,Separated,272.4
G7064574L,Madeline,Lastrapes,LastMa@hotmail.co.uk,1981-07-18,33612,Male,Black,Unknown,Married-civ-spouse,V70.0
F9084516X,Stevie,Zartman,ZartmaStev@live.co.uk,1973-02-09,32162,Male,White,Roman Catholic,Married-civ-spouse,530.81
S3230283A,Jami,Cinotto,@hotmail.gov,1957-07-28,33777,Female,White,,Divorced,244.9
T6055471D,Tori,Woitowitz,WoitowitTori@hotmail.co.uk,1960-12-17,33896,Male,White,Unknown,Married-civ-spouse,311
S4814415B,Spenser,Hilario,Hilario@hotmail.co.uk,1997-08-14,33569,Male,White,,Never-married,272.4
F1863621L,Carlos,Treder,TreC@hotmail.co.uk,1962-04-03,32407,Male,Asian,Lutheran,Married-civ-spouse,311
S8020389F,Garett,Licata,LicatGarett@live.com,1977-11-13,33179,Male,White,,Divorced,401.9
T5650599G,Glen,Deuel,DeuGl@hotmail.gov,1967-03-11,33809,Male,White,,Married-civ-spouse,272.4
F3605273L,Duane,Berisford,BerisfordDuane@gmail.com,1993-10-26,33594,Male,White,Unknown,Never-married,250.00
S4843207G,Sydnee,Rueter,Ru@hotmail.co.uk,1996-10-20,34711,Male,Black,Christian,Never-married,V58.69
S5880435E,Breanne,Oldham,OldBrean@gmail.co.uk,1971-06-18,32962,Male,White,,Divorced,272.4
G4646119M,Malachi,Ryon,RyoMalachi@live.co.uk,1986-10-08,33931,Male,White,Unknown,Married-civ-spouse,401.9
T6857858B,Sierra,Stant,StSi@live.com,1994-06-29,34748,Male,Black,,Married-civ-spouse,250.00
F9251507U,Faith,Olewine,OF@outlook.com,1968-05-12,33967,Male,White,Unknown,Never-married,V70.0
G4081048W,Paola,Cokley,Cok@live.co.uk,1995-12-19,33018,Male,White,Unknown,Never-married,250.00
S6601195Z,Joey,Liebelt,LiebJ@outlook.gov,1997-08-31,33012,Female,White,Baptist,Married-AF-spouse,272.4
S0832988E,Katerina,Steinbrenner,StKater@live.gov,1985-01-31,32217,Male,White,,Married-civ-spouse,401.9
G7432741U,Mitchel,Willer,WilM@gmail.com,1968-07-18,33852,Male,White,Unknown,Married-civ-spouse,V58.69
T9736302A,Macie,Petteway,PettewayM@outlook.gov,1985-03-16,34224,Male,White,Christian,Married-civ-spouse,V70.0
G0257537W,Cassie,Rasset,RassCassie@hotmail.com,1963-03-25,33772,Male,White,,Married-civ-spouse,401.9
G7434936Q,Terry,Nuckols,NTe@gmail.co.uk,1992-11-20,33165,Male,White,,Married-civ-spouse,401.9
F8811566W,Katelynn,Fullman,FKatelyn@live.co.uk,1967-11-06,33186,Female,White,,Separated,250.00
S0941138J,Marisol,Mostoller,MostollMar@outlook.co.uk,1991-08-26,34243,Male,White,,Never-married,311
T8771894H,Hilary,Scheirman,ScheirmH@outlook.co.uk,1959-03-19,32808,Male,Black,,Married-civ-spouse,250.00
F2580983K,Marlon,Bryand,BryandM@gmail.com,1963-08-26,32351,Male,White,Unknown,Married-civ-spouse,V70.0
F5965965X,Donavan,Lippert,LippeDonava@live.gov,1972-03-08,32780,Female,White,Baptist,Divorced,250.00
G9270782L,Kathrine,Lallier,LallieK@live.gov,1975-02-24,33446,Male,White,,Married-civ-spouse,530.81
G3071709X,Ladarius,Bodi,BoLad@hotmail.com,1987-12-06,34947,Male,White,Unknown,Never-married,V70.0
F4072819T,Melina,Funderburg,FunderburM@outlook.com,1991-02-17,33186,Female,Other,,Married-civ-spouse,272.4
G4884509Q,Jackson,Hohlstein,Hohls@live.com,1998-04-08,34983,Female,White,Baptist,Never-married,250.00
G2141754T,Cheryl,Hairr,Ha@outlook.co.uk,1969-04-02,33324,Female,White,Unknown,Married-civ-spouse,401.9
S1681640Z,Karly,Hoysradt,HKarl@hotmail.co.uk,1966-12-13,33186,Male,White,Unknown,Divorced,V70.0
G1204338N,Savanna,Herrman,Savanna@gmail.co.uk,1969-07-11,32909,Male,White,Unknown,Divorced,311
S7693058I,Charlie,Trigueiro,TrigCharli@outlook.gov,1973-05-17,33897,Male,White,Baptist,Married-civ-spouse,272.4
S2875084F,Orion,Colesar,CoOr@outlook.gov,1970-11-08,32927,Male,White,Unknown,Married-civ-spouse,401.1
F1147917X,Rhonda,Kaldahl,KaldaR@hotmail.gov,1981-12-03,32225,Male,White,Unknown,Married-civ-spouse,401.1
S6713353F,Josiah,Cesar,CesaJo@live.co.uk,1975-02-11,33463,Male,White,Lutheran,Married-civ-spouse,427.31
F7558104K,Aimee,Guers,GuerAimee@hotmail.co.uk,1986-11-14,34639,Male,White,Unknown,Married-civ-spouse,250.00
G5308913P,Geoffrey,Binnicker,BinniGeoff@hotmail.com,1986-01-16,34691,Male,White,Unknown,Married-civ-spouse,272.4
G7286300M,Daphne,Glay,GlaDa@gmail.com,1984-06-24,32763,Male,White,,Married-spouse-absent,401.9
G7379619U,Davin,Doubrava,DouDavi@outlook.co.uk,1968-12-17,33174,Male,White,Unknown,Married-civ-spouse,401.1
F4717663T,Kaden,Colwell,ColK@outlook.com,1974-08-22,34112,Male,White,Unknown,Married-civ-spouse,530.81
S5426680D,Leanna,Maddin,MLeanna@gmail.co.uk,1987-03-01,33903,Male,White,Unknown,Divorced,V58.69
G7148834U,Garrett,Lyden,LydGa@live.co.uk,1980-03-07,32808,Male,White,Unknown,Married-civ-spouse,244.9
S6439302B,Kassie,Honhart,HonharKassi@hotmail.gov,1988-10-17,32903,Female,White,Unknown,Divorced,244.9
S1596843E,Elvis,Wandless,WandlElvi@outlook.com,1963-01-23,33534,Female,White,Protestant,Married-civ-spouse,272.4
F4775492P,Juana,Desjarlais,Juana@gmail.com,1967-07-22,32759,Male,White,,Married-civ-spouse,401.9
T4417450B,Mariana,Kuhnert,KuhnMari@hotmail.com,1991-01-15,32043,Male,White,Nonreligious,Never-married,401.1
G0110714M,Esther,Armour,ArmourEsth@hotmail.co.uk,1997-05-18,32352,Male,White,,Never-married,250.00
G0540772U,Wendell,Ziemba,Wende@gmail.co.uk,1985-07-11,34235,Female,Black,Roman Catholic,Separated,272.4
S9707778I,Virginia,Haer,HaVir@hotmail.co.uk,1987-07-06,32835,Male,White,Pentecostal,Married-civ-spouse,250.00
T2814749Z,Khalid,Silago,SilaKh@outlook.com,1993-02-07,32038,Male,White,Unknown,Never-married,427.31
S7907804B,Marc,Stahly,StahlyMa@live.co.uk,1937-02-13,34453,Male,White,Unknown,Married-civ-spouse,250.00
G7198729U,Yasmin,Tse,Ts@hotmail.gov,1989-10-23,32839,Male,White,,Never-married,427.31
G1647522W,Anastasia,Takai,Taka@gmail.com,1976-04-21,33411,Male,White,Nonreligious,Married-civ-spouse,530.81
T1628885C,Claire,Hayward,HayC@gmail.com,1949-07-01,34442,Male,White,Nonreligious,Married-civ-spouse,311
T3668944G,Nikolas,Jacquier,JNik@hotmail.gov,1998-10-12,33155,Female,White,,Never-married,250.00
S7758237A,Mariam,Vecchione,VeccMari@hotmail.gov,1985-07-18,33433,Male,White,Nonreligious,Married-civ-spouse,401.9
F7613425K,Heidi,Juliana,JulHeid@hotmail.com,1998-04-06,32164,Male,White,Unknown,Never-married,250.00
F0039922K,Katrina,Heibult,HKatrina@live.gov,1964-03-05,33543,Male,White,Nonreligious,Married-civ-spouse,244.9
G6484880K,Bernard,Madara,Madara@live.com,1970-10-01,33165,Female,White,Unknown,Married-civ-spouse,401.9
T5447136Z,Danica,Kurth,Danica@live.com,1957-01-09,34748,Male,White,,Married-civ-spouse,250.00
F2718612L,Bruce,Kolinsky,KoBr@hotmail.gov,1972-06-01,33615,Female,White,,Divorced,V70.0
S3781032J,Justen,Mousa,MouJ@live.gov,1963-08-24,33414,Female,White,Unknown,Divorced,311
S5449008I,Ebony,Yeilding,YeildinEbo@gmail.co.uk,1967-09-15,34266,Male,White,,Married-civ-spouse,272.4
S8429957Z,Miles,Nahl,NM@live.co.uk,1983-11-01,32905,Male,White,Unknown,Married-civ-spouse,244.9
G9680208X,Patrick,Duerst,DuersPatric@live.com,1986-05-08,33857,Male,White,Unknown,Never-married,401.9
S2578721H,Jerrell,Troncoso,Jerrell@live.com,1973-04-05,33881,Female,White,Protestant,Never-married,401.1
G4879042U,Aisha,Dummermuth,DumAis@live.com,1959-02-20,32725,Male,White,Unknown,Married-civ-spouse,427.31
F1648517U,Felipe,Gershen,GershenFel@live.com,1979-02-16,32563,Female,White,Nonreligious,Divorced,V58.69
S3457076J,Desmond,Soechting,SoechtD@gmail.co.uk,1988-09-14,33993,Female,Black,Unknown,Divorced,272.4
G4333143N,Ethan,Esquea,EsEt@live.com,1986-07-10,34288,Female,Asian,Unknown,Married-civ-spouse,401.1
T3742090E,Ashli,Lucksom,LucksAsh@gmail.com,1982-01-16,33801,Male,White,Unknown,Married-civ-spouse,250.00
G5277844K,Marlene,Rutan,RutanMarlen@outlook.co.uk,1987-11-21,33616,Male,White,Unknown,Never-married,401.1
S8641488J,Infant,Kristoff,KrI@live.co.uk,1968-05-13,33073,Male,White,,Married-civ-spouse,V58.69
F5989602N,Genevieve,Carlos,CaGenevi@hotmail.co.uk,1979-02-02,32351,Male,White,,Married-civ-spouse,272.4
G8176375P,Shana,Smulik,Sm@gmail.com,1968-09-22,34238,Female,White,Roman Catholic,Divorced,272.4
G1974670N,Max,Spera,SM@live.com,1984-04-03,33411,Male,Black,Unknown,Never-married,272.4
G1271936K,Ethan,Kaner,KaneE@hotmail.com,1940-10-14,33967,Male,White,Christian,Married-civ-spouse,401.1
T7483703D,Amelia,Uscio,UA@live.gov,1972-04-06,33523,Male,White,Christian,Married-civ-spouse,427.31
G1067550L,Max,Nanni,NM@live.co.uk,1969-06-01,33401,Female,White,,Never-married,244.9
S2189338B,Demarcus,Hotze,Demarcu@gmail.com,1996-06-22,32250,Female,White,,Never-married,272.4
F3265528U,Adrien,Aliano,AlAdrie@outlook.com,1987-08-28,32725,Male,White,Unknown,Never-married,427.31
T0084531J,Conor,Rosson,@hotmail.com,1984-09-21,33471,Male,White,Protestant,Married-civ-spouse,401.9
F9564501K,Pamela,Andris,Pam@live.gov,1999-10-18,34205,Female,White,Nonreligious,Never-married,V58.69
G8517588L,Dexter,Seaton,Seaton@live.gov,1986-08-27,32177,Male,White,Unknown,Never-married,V58.69
G0237711W,Julien,Rallison,RallisonJuli@hotmail.co.uk,1985-10-10,32257,Female,White,Other,Never-married,V58.69
F9447666Q,Cortney,Boye,BCort@live.gov,1974-08-13,32209,Male,White,Methodist,Married-civ-spouse,401.1
G6325286R,Dakota,Hovde,HoD@gmail.com,1992-05-01,34613,Male,White,Christian,Never-married,401.9
S2293102D,Mariela,Milke,@live.gov,1978-06-04,33178,Male,White,Unknown,Married-civ-spouse,427.31
F6790507P,Wayne,Czubia,CzubiW@hotmail.com,1960-07-21,33712,Male,White,,Married-civ-spouse,250.00
T5300984J,Molly,Myres,MyresM@outlook.gov,1988-03-22,33881,Female,White,Unknown,Married-civ-spouse,401.9
F4571911K,Korey,Kesler,K@live.co.uk,1980-04-11,33187,Female,White,Unknown,Never-married,401.9
F5634494L,Sonia,Ladtkow,LadtkSonia@gmail.co.uk,1963-10-31,33181,Male,White,Unknown,Married-civ-spouse,401.9
G3091030M,Randall,Schachterle,SchachtRanda@gmail.com,1960-04-20,33973,Male,White,Unknown,Married-civ-spouse,401.9
G0633147P,Asia,Szigethy,Szi@live.com,1967-07-12,34683,Male,Black,Unknown,Married-civ-spouse,401.1
F5353101Q,Bernadette,Ploude,PloudBer@hotmail.com,1961-06-04,34207,Male,White,Pentecostal,Married-civ-spouse,401.1
F5748065M,Roberto,Lefort,LeforRo@outlook.co.uk,1994-12-01,32344,Male,White,Unknown,Never-married,250.00
T3563479G,Robyn,Nicklaw,NickRo@outlook.co.uk,1995-11-24,33147,Female,White,,Never-married,250.00
T9720814Z,Rafael,Towry,ToRafael@outlook.gov,1976-04-18,32708,Male,White,Nonreligious,Married-civ-spouse,244.9
S6749938G,Lorena,Helgerson,HelgersoLor@gmail.co.uk,1986-01-29,33908,Male,Black,Christian,Never-married,272.4
S8865311D,Eduardo,Oshea,Oshea@outlook.com,1987-04-14,32668,Male,White,Unknown,Married-civ-spouse,530.81
T2965347Z,Kaylynn,Reidherd,ReidheKayly@gmail.co.uk,1997-08-03,33145,Male,Black,Unknown,Never-married,401.9
T7399808E,Katy,Dingel,Dingel@outlook.gov,1969-04-27,32792,Female,White,,Married-civ-spouse,401.1
G5348966N,Alecia,Pihlaja,PihlAl@live.co.uk,1996-01-11,33846,Female,White,Unknown,Never-married,401.1
G9695364W,Dominick,Tansley,TansleyDom@live.gov,1985-10-11,32927,Male,White,Unknown,Married-civ-spouse,250.00
T5648357H,Heather,Mcquay,Mcq@hotmail.co.uk,1981-10-15,32570,Male,White,Roman Catholic,Married-civ-spouse,272.4
F7547343P,Trey,Kressler,Kr@hotmail.co.uk,1977-07-30,32607,Male,White,,Divorced,250.00
T3984223H,Katy,Cedrone,Cedr@live.com,1988-05-27,32312,Female,White,Unknown,Never-married,250.00
G8394695N,Olga,Petralia,Olga@live.com,1992-10-11,33182,Female,White,Lutheran,Never-married,401.9
F9513600K,Skyler,Scolnik,ScolnSkyle@hotmail.co.uk,1978-12-22,33134,Male,White,Unknown,Married-civ-spouse,250.00
T3165196D,Kaylyn,Drakeford,DrakeKay@gmail.com,1979-05-14,32068,Male,White,Unknown,Married-civ-spouse,427.31
G6482406Q,Giselle,Samay,SGisel@hotmail.com,1970-08-07,33523,Female,Black,,Divorced,244.9
T9682177H,Charlie,Eschete,EschC@hotmail.com,1978-05-25,34741,Male,White,,Married-civ-spouse,272.4
F0490592W,Kathy,Barket,BarketKath@hotmail.co.uk,1973-01-24,32129,Male,White,Unknown,Married-civ-spouse,401.9
F9842249T,Abbigail,Voeks,VAbbiga@live.gov,1989-10-25,33898,Female,White,Unknown,Married-civ-spouse,V58.69
S7619824A,Colleen,Caves,CavColleen@hotmail.gov,1996-06-11,32312,Male,White,Unknown,Never-married,V70.0
S8388715Z,Tatyana,Radlinski,RadTat@hotmail.gov,1967-11-02,33805,Male,Asian,Unknown,Married-civ-spouse,401.9
T9253168F,Heath,Murga,@live.com,1955-05-10,34110,Male,White,Unknown,Married-civ-spouse,311
G1739476L,Trent,Parrino,ParrinTr@hotmail.co.uk,1989-06-11,33544,Female,White,Unknown,Never-married,V70.0
F1051959N,Cooper,Munshi,Mun@outlook.co.uk,1997-12-30,32159,Male,White,Unknown,Never-married,272.4
T7187079J,Silvia,Alie,AliSilvia@outlook.com,1971-07-16,33624,Female,White,Nonreligious,Never-married,272.4
G3512789P,Gene,Disalvi,DiGe@hotmail.gov,1946-05-16,32746,Male,White,Unknown,Never-married,250.00
G7778443T,Dennis,Kennelty,Denn@gmail.co.uk,1985-11-02,33126,Female,Black,Nonreligious,Never-married,401.1
G6539870L,Alexa,Scriven,ScrAl@live.gov,1994-11-10,34293,Male,White,,Married-civ-spouse,250.00
G0202131P,Demarco,Vreeken,D@gmail.co.uk,1980-11-12,33160,Female,White,,Widowed,V70.0
F1159159X,Racheal,Ogiamien,OgiaRa@gmail.co.uk,1952-03-24,34109,Male,White,Christian,Married-civ-spouse,272.4
T8267213C,Aspen,Claros,ClarosAs@gmail.com,1973-10-13,33016,Female,White,Roman Catholic,Divorced,427.31
G2679629Q,Kimberley,Oachs,OachsKimberl@outlook.co.uk,1969-04-09,33884,Female,White,,Divorced,V70.0
T4176583F,Tamara,Aurand,Tam@hotmail.co.uk,1982-07-10,33770,Female,White,Christian,Never-married,272.4
T8831695I,Brittany,Anitok,@gmail.com,1983-04-25,34234,Female,Asian,,Never-married,250.00
F8259391T,Caitlin,Saulsbery,SaulsberyCaitl@hotmail.com,1995-11-01,32808,Male,White,Unknown,Never-married,272.4
G5784721L,Julien,Heglar,He@live.com,1964-11-23,33127,Male,White,Nonreligious,Divorced,250.00
G0701095T,Jamaal,Gonez,GoneJa@hotmail.com,1968-01-12,33610,Male,White,Nonreligious,Married-civ-spouse,272.4
G6257622R,Makenzie,Bemer,BemMakenzi@outlook.gov,1993-12-01,34240,Male,White,Church of the Nazarene,Never-married,530.81
G9774473N,Raphael,Hervey,HerveyRa@outlook.gov,1945-06-16,33611,Male,Black,Unknown,Separated,V70.0
S0617076E,Yvonne,Bunger,B@outlook.gov,1987-10-14,32174,Male,White,,Divorced,401.9
G9143842U,Rachelle,Curbeam,CurbeaRachelle@live.com,1974-12-03,33837,Male,Black,,Separated,244.9
F9438669K,Shannon,Estacion,EstShanno@gmail.co.uk,1948-04-14,34695,Female,White,Roman Catholic,Divorced,272.4
G5354789M,Shay,Dolley,S@gmail.co.uk,1991-05-13,32714,Female,White,Unknown,Never-married,401.1
S9742672D,Aliyah,Vaiko,VaAliyah@live.com,1972-11-17,34491,Female,Asian,,Divorced,401.9
S2224190G,Cecilia,Hersberger,@gmail.com,1988-11-03,32566,Female,Asian,,Never-married,250.00
S4991325G,Dallin,Havekost,Havekost@outlook.com,1971-07-20,33127,Male,White,Roman Catholic,Married-civ-spouse,401.9
G9862210K,Reed,Polivick,Reed@outlook.co.uk,1980-04-07,33147,Female,White,,Divorced,V58.69
T5561401F,Lloyd,Ehnis,EhL@live.gov,1977-12-08,34436,Male,White,Other,Never-married,272.4
F1276843P,Beverly,Prucnal,PBeve@gmail.com,1970-07-27,32958,Male,White,Unknown,Widowed,311
T9889145E,Brooks,Meneses,MenesBro@gmail.com,1998-04-21,32303,Male,White,Unknown,Never-married,244.9
G4339212M,Wyatt,Elswick,ElswickW@outlook.gov,1950-08-28,34684,Female,White,Unknown,Widowed,427.31
F5502242U,Logan,Meuller,ML@live.com,1989-10-28,32224,Male,White,Unknown,Never-married,250.00
G0065017W,Bronson,Hobden,HobdenB@gmail.co.uk,1988-12-06,33903,Male,White,,Married-civ-spouse,530.81
G3057924X,Brandyn,Ciarlo,CiaB@outlook.co.uk,1965-01-17,34120,Male,White,Methodist,Married-civ-spouse,244.9
F7007322Q,Forest,Tarquinio,TarFo@gmail.com,1989-12-04,34654,Male,White,Unknown,Never-married,401.9
F2771849M,Quinn,Guieb,Qu@gmail.co.uk,1988-05-28,32666,Male,White,Christian,Married-civ-spouse,401.9
S5412510J,Tavon,Snuggs,SnuggTavo@outlook.co.uk,1989-11-07,32514,Female,White,Nonreligious,Married-spouse-absent,530.81
G1498033N,Donald,Cabral,CabralDonal@live.co.uk,1995-03-22,32763,Male,Black,,Never-married,272.4
G5384762P,Johnnie,Adolphus,AdJohnnie@live.gov,1982-11-21,33558,Male,Black,Unknown,Never-married,272.4
G0980182X,Nicole,Lecy,LecNi@hotmail.com,1998-07-14,33426,Male,White,Unknown,Never-married,401.9
S9441167Z,Shanice,Rudnicky,RudShanic@outlook.gov,1983-11-01,33770,Male,White,Roman Catholic,Married-civ-spouse,272.4
G5747979P,Iris,Weinrich,WIr@outlook.co.uk,1972-11-17,33572,Male,Black,Nonreligious,Married-civ-spouse,V58.69
S1311444G,Nikita,Cracraft,CracrafNikit@gmail.com,1973-03-07,34291,Female,White,Unknown,Divorced,V70.0
T0847299H,Cindy,Gowing,GowinCindy@outlook.gov,1986-03-14,33028,Male,Black,Unknown,Never-married,250.00
T0929867C,Angelique,Librizzi,LibriAng@gmail.co.uk,1976-05-20,33471,Male,White,Unknown,Married-civ-spouse,401.9
T2059983I,Franchesca,Grefe,Franch@gmail.co.uk,1979-06-17,33948,Male,White,Unknown,Married-civ-spouse,401.9
S0291031D,Brennan,Brame,BramBrenna@live.co.uk,1982-01-14,33498,Male,Black,,Married-civ-spouse,272.4
G4388432T,Brenna,Bulcao,BulcaBrenn@live.co.uk,1975-07-31,33873,Female,White,Unknown,Divorced,244.9
F3336473M,Stephany,Mcclour,MccS@live.gov,1963-11-17,32254,Female,White,Unknown,Divorced,427.31
T7654264C,Selina,Harritt,HarritSel@live.co.uk,1985-02-03,32570,Female,White,,Married-civ-spouse,530.81
G9976511U,Madalyn,Zucchetto,ZuMad@live.com,1958-09-20,32038,Male,White,Christian,Married-civ-spouse,V70.0
G5591816M,Darcy,Martos,MartDarc@live.com,1978-05-19,33615,Female,Black,Roman Catholic,Divorced,244.9
S5546475H,Wayne,Laky,Wayn@outlook.co.uk,1992-11-15,32003,Male,White,Christian,Married-civ-spouse,272.4
S1761180A,Breanne,Mcalpine,McalBre@outlook.gov,1975-05-07,33401,Male,Black,Nonreligious,Married-civ-spouse,272.4
F9275035M,Gino,Kempker,KempkerGino@outlook.co.uk,1969-09-26,33558,Male,White,Christian,Married-civ-spouse,244.9
G4317937M,Caitlyn,Hignight,HignCai@gmail.co.uk,1975-07-16,33138,Male,White,Roman Catholic,Married-civ-spouse,272.4
G4622973T,Curtis,Dotson,Dots@live.gov,1993-07-19,33407,Male,White,,Married-civ-spouse,530.81
S1321859E,Gerardo,Urlaub,UrlauGerard@hotmail.gov,1980-02-23,34996,Male,White,Unknown,Divorced,427.31
G4811849Q,Mike,Shonts,ShontsMike@outlook.co.uk,1976-09-09,33462,Female,White,Unknown,Never-married,250.00
S4080919H,Ronnie,Benenati,BeRonnie@gmail.com,1981-09-04,32948,Male,White,Unknown,Married-civ-spouse,272.4
T5398688I,Dorian,Turli,TurliD@outlook.co.uk,1992-03-19,34769,Male,White,,Never-married,272.4
T3439167Z,Sheila,Beidler,@outlook.com,1990-02-28,34446,Female,White,Unknown,Never-married,272.4
F2952833X,Braydon,Lallo,LalloBraydo@live.com,1997-11-29,33823,Male,White,,Never-married,272.4
F0193452W,Breanne,Breshears,BB@live.gov,1965-03-26,32824,Male,White,,Married-civ-spouse,V70.0
T3597824J,Mike,Frankford,FrankfordM@live.com,1974-04-14,34744,Female,White,Unknown,Never-married,401.1
S4053898D,Giovanni,Caretto,CaGiov@live.co.uk,1979-01-13,33032,Female,White,Unknown,Divorced,272.4
G2605686K,Barbara,Daisey,DBa@gmail.co.uk,1998-05-22,34142,Female,White,Unknown,Never-married,427.31
T8854462E,Donna,Macrostie,Donn@outlook.com,1980-04-24,34113,Male,Black,Baptist,Married-civ-spouse,401.9
T3098159F,Alysia,Morneau,MoAlysi@outlook.com,1981-06-01,33446,Male,White,Baptist,Divorced,272.4
G9489462W,Tylor,Maxie,Ty@hotmail.com,1958-07-01,32832,Female,White,Unknown,Married-civ-spouse,V70.0
T2045584E,Alexandrea,Minger,MingeAlexandrea@live.com,1999-10-22,33844,Female,White,,Never-married,272.4
S9650066A,Brandi,Donachie,DonB@hotmail.com,1972-01-02,34677,Male,Black,,Married-civ-spouse,250.00
T4121719G,Kira,Lamirand,LamirKir@gmail.com,1979-03-18,34114,Male,White,,Married-civ-spouse,401.9
F1436125K,Bo,Gehlhausen,GehBo@gmail.com,1981-05-08,32563,Female,American Indian,Roman Catholic,Never-married,427.31
T4108384J,Luciano,Augustyn,AugustynLucian@hotmail.gov,1956-10-19,32653,Male,Asian,,Married-civ-spouse,401.1
T5495911G,Francheska,Sivia,SFranche@hotmail.gov,1962-06-25,32309,Male,White,Christian,Married-civ-spouse,272.4
T6250330J,Pamela,Steigerwalt,SPam@outlook.gov,1979-01-25,32935,Male,Black,Unknown,Never-married,401.9
S1453079G,Wade,Daykin,DaykinWad@live.gov,1966-10-19,33458,Female,White,Unknown,Divorced,250.00
T6367188F,Garrison,Vandyk,VandyGarris@hotmail.co.uk,1978-01-05,33603,Male,White,Roman Catholic,Married-civ-spouse,244.9
T6673853A,Alysia,Lanzetta,Alysia@live.co.uk,1971-03-09,33012,Male,White,Unknown,Married-civ-spouse,272.4
S3319549D,Catherine,Stetler,StetC@outlook.com,1991-07-20,33186,Male,White,Nonreligious,Never-married,401.9
T0890594J,Jeremy,Fioravanti,FioJe@hotmail.com,1985-01-30,33131,Male,White,,Married-civ-spouse,V70.0
S6143188H,Ronald,Haneke,Rona@hotmail.co.uk,1952-01-11,33844,Male,White,Unknown,Divorced,V58.69
F2228320X,Melissa,Mellady,MeM@gmail.com,1962-01-20,33469,Male,Black,Nonreligious,Married-civ-spouse,311
F2013795U,Kimberly,Reifel,ReifeKimber@live.com,1963-02-23,34683,Female,White,Unknown,Never-married,250.00
S3360126C,Billie,Clint,Cli@outlook.com,1998-05-31,33455,Female,White,Unknown,Never-married,401.1
G5117450W,Kayla,Jhonson,JhoKayla@live.gov,1956-01-07,34741,Female,American Indian,Lutheran,Divorced,311
T6576563B,Josh,Bodamer,Bodamer@outlook.com,1950-08-28,32789,Male,White,,Married-civ-spouse,V58.69
F7078722U,Cecil,Kanarek,KanaCeci@gmail.com,1941-07-23,33955,Female,White,Unknown,Widowed,427.31
S6556315J,Clifford,Lundholm,LundhoCliffor@live.co.uk,1951-02-16,33931,Female,White,Christian,Divorced,272.4
S9300978I,Sydney,Elbogen,ElbogenSydne@live.gov,1981-05-24,33418,Male,Black,,Separated,401.9
F8348311M,Audrey,Devara,Au@outlook.com,1975-10-06,33321,Female,Black,Unknown,Divorced,401.9
F5857484T,Marissa,Setias,SetMaris@outlook.gov,1991-10-05,33908,Male,White,Unknown,Never-married,401.9
